code,Gmina,registered_voters,ballots_cast,valid_votes,KE,LR,P-K,JN,PiS,RPE,Wiosna,Konfederacja,Kukiz'15,PFP
020101,m. Bolesławiec,30273,13638,13548,6408,154,,,4875,,892,725,494,
020102,gm. Bolesławiec,11166,4397,4366,1536,46,,,2060,,237,271,216,
020103,gm. Gromadka,4376,1612,1580,454,17,,,881,,76,91,61,
020104,gm. Nowogrodziec,11854,3923,3862,980,53,,,2236,,197,225,171,
020105,gm. Osiecznica,5369,1856,1820,614,44,,,797,,131,135,99,
020106,gm. Warta Bolesławiecka,6725,2337,2317,709,33,,,1201,,140,131,103,
020201,m. Bielawa,24226,9668,9597,3975,125,,,4027,,657,460,353,
020202,m. Dzierżoniów,26216,11989,11889,5261,145,,,4660,,834,592,397,
020203,m. Pieszyce,7572,2858,2831,1004,36,,,1323,,205,165,98,
020204,m. Piława Górna,5039,1875,1864,585,29,,,940,,117,127,66,
020205,gm. Dzierżoniów,7454,3004,2959,891,38,,,1604,,172,119,135,
020206,gm. Łagiewniki,6018,2259,2237,616,21,,,1283,,103,116,98,
020207,gm. Niemcza,4482,1555,1536,552,23,,,766,,82,63,50,
020301,m. Głogów,52081,23833,23671,9926,340,,,9984,,1462,1014,945,
020302,gm. Głogów,5325,2342,2324,794,29,,,1138,,150,98,115,
020303,gm. Jerzmanowa,3885,1791,1780,697,28,,,773,,118,88,76,
020304,gm. Kotla,3412,1195,1176,310,20,,,662,,81,47,56,
020305,gm. Pęcław,1745,630,612,128,12,,,417,,12,23,20,
020306,gm. Żukowice,2707,954,937,259,13,,,496,,61,58,50,
020401,gm. Góra,15662,5400,5351,2020,68,,,2548,,306,211,198,
020402,gm. Jemielno,2426,762,752,199,10,,,443,,36,37,27,
020403,gm. Niechlów,3841,1215,1192,288,17,,,756,,43,50,38,
020404,gm. Wąsosz,5801,1907,1871,586,29,,,947,,146,72,91,
020501,m. Jawor,18570,7896,7841,3079,93,,,3529,,456,375,309,
020502,gm. Bolków,8369,3036,2980,1104,36,,,1342,,228,136,134,
020503,gm. Męcinka,3957,1462,1448,378,12,,,846,,83,68,61,
020504,gm. Mściwojów,3247,1218,1201,411,20,,,606,,84,44,36,
020505,gm. Paszowice,3222,1249,1235,423,13,,,605,,64,67,63,
020506,gm. Wądroże Wielkie,3241,1173,1161,405,10,,,610,,53,36,47,
020601,m. Karpacz,4291,2079,2061,1195,33,,,530,,153,100,50,
020602,m. Kowary,8508,3384,3354,1619,95,,,1102,,259,169,110,
020603,m. Piechowice,4989,2148,2131,1048,27,,,684,,167,127,78,
020604,m. Szklarska Poręba,5226,2410,2384,1187,30,,,787,,198,87,95,
020605,gm. Janowice Wielkie,3438,1395,1378,672,19,,,457,,107,73,50,
020606,gm. Jeżów Sudecki,5785,2534,2505,1302,33,,,739,,218,124,89,
020607,gm. Mysłakowice,7999,3338,3302,1517,85,,,1192,,259,137,112,
020608,gm. Podgórzyn,6544,2729,2699,1338,95,,,869,,199,118,80,
020609,gm. Stara Kamienica,4197,1534,1510,630,23,,,575,,157,70,55,
020701,m. Kamienna Góra,15590,6197,6146,2772,88,,,2451,,401,244,190,
020702,gm. Kamienna Góra,6988,2728,2694,1037,53,,,1235,,138,99,132,
020703,gm. Lubawka,8850,3416,3379,1487,40,,,1298,,291,127,136,
020704,gm. Marciszów,3622,1229,1221,466,16,,,582,,51,62,44,
020801,m. Duszniki-Zdrój,4004,1825,1813,845,26,,,687,,106,107,42,
020802,m. Kłodzko,21744,9397,9333,4418,96,,,3499,,518,447,355,
020803,m. Kudowa-Zdrój,8419,3867,3832,1780,38,,,1529,,180,178,127,
020804,m. Nowa Ruda,18016,6842,6797,3256,115,,,2487,,397,345,197,
020805,m. Polanica-Zdrój,5858,2873,2858,1370,31,,,1083,,170,98,106,
020806,gm. Bystrzyca Kłodzka,15398,6013,5965,2343,67,,,2851,,282,240,182,
020807,gm. Kłodzko,13516,4994,4933,1625,49,,,2568,,233,253,205,
020808,gm. Lądek-Zdrój,7267,2885,2853,1231,54,,,1187,,156,124,101,
020809,gm. Lewin Kłodzki,1601,604,604,247,11,,,265,,26,37,18,
020810,gm. Międzylesie,5862,2188,2154,800,35,,,984,,141,115,79,
020811,gm. Nowa Ruda,9424,3466,3440,1334,50,,,1563,,226,149,118,
020812,gm. Radków,7302,2624,2587,885,41,,,1317,,119,130,95,
020813,gm. Stronie Śląskie,5995,2252,2238,992,29,,,888,,158,74,97,
020814,gm. Szczytna,5866,2193,2162,884,28,,,908,,114,136,92,
020901,m. Chojnów,10439,4162,4131,1662,69,,,1834,,235,198,133,
020902,gm. Chojnów,7555,2789,2762,752,26,,,1624,,123,142,95,
020903,gm. Krotoszyce,2598,1016,1005,258,18,,,587,,54,54,34,
020904,gm. Kunice,5220,2465,2440,1044,12,,,992,,156,113,123,
020905,gm. Legnickie Pole,3865,1630,1604,474,22,,,891,,76,80,61,
020906,gm. Miłkowice,5219,2322,2292,751,39,,,1110,,160,112,120,
020907,gm. Prochowice,5894,2317,2299,770,19,,,1181,,127,95,107,
020908,gm. Ruja,2052,636,624,143,4,,,399,,28,23,27,
021001,m. Lubań,16717,6996,6943,3338,98,,,2524,,444,314,225,
021002,m. Świeradów-Zdrój,3657,1693,1681,771,23,,,619,,126,72,70,
021003,gm. Leśna,7987,2931,2899,1133,41,,,1268,,200,147,110,
021004,gm. Lubań,5183,1874,1846,681,21,,,845,,99,108,92,
021005,gm. Olszyna,5212,1895,1878,807,15,,,803,,93,91,69,
021006,gm. Platerówka,1305,516,512,146,5,,,300,,19,25,17,
021007,gm. Siekierczyn,3976,1451,1432,516,23,,,655,,99,58,81,
021101,m. Lubin,56170,26207,26031,9446,288,,,12162,,1524,1325,1286,
021102,gm. Lubin,12298,5576,5535,1949,59,,,2584,,340,300,303,
021103,gm. Rudna,6119,2472,2444,625,42,,,1375,,119,135,148,
021104,gm. Ścinawa,7786,3116,3088,749,39,,,1886,,129,152,133,
021201,gm. Gryfów Śląski,7838,2884,2853,1175,54,,,1237,,170,113,104,
021202,gm. Lubomierz,4872,1763,1733,673,22,,,778,,96,74,90,
021203,gm. Lwówek Śląski,13734,5213,5167,2171,71,,,2066,,344,314,201,
021204,gm. Mirsk,6977,2395,2361,850,24,,,1145,,138,107,97,
021205,gm. Wleń,3506,1339,1314,527,22,,,568,,86,62,49,
021301,gm. Cieszków,3755,1454,1439,465,13,,,791,,57,64,49,
021302,gm. Krośnice,6378,2294,2273,649,30,,,1333,,97,90,74,
021303,gm. Milicz,19182,7489,7419,2908,83,,,3479,,397,324,228,
021401,m. Oleśnica,29146,13541,13457,6032,184,,,4958,,984,739,560,
021402,gm. Bierutów,7904,2787,2759,967,26,,,1426,,126,122,92,
021403,gm. Dobroszyce,5264,2072,2051,698,34,,,1008,,113,105,93,
021404,gm. Dziadowa Kłoda,3584,1193,1167,430,22,,,580,,65,51,19,
021405,gm. Międzybórz,4026,1382,1373,547,24,,,574,,91,72,65,
021406,gm. Oleśnica,10444,3880,3843,1481,39,,,1761,,259,163,140,
021407,gm. Syców,13276,5377,5322,2405,78,,,2012,,326,278,223,
