code,Gmina,Powiat,registered_voters,ballots_cast,valid_votes,Bochniarz,Borowski,Bubel,Ilasz,Kaczyński,Kalinowski,Korwin-Mikke,Lepper,Pyszko,Słomka,Tusk,Tymiński
020101,m. Bolesławiec,bolesławiecki,"33,990","16,716","16,259",245,"2,590",19,34,"4,673",123,259,"1,320",14,6,"6,947",29
020102,gm. Bolesławiec,bolesławiecki,"9,369","5,155","3,903",43,281,3,9,"1,150",56,43,830,3,5,"1,472",8
020103,gm. Gromadka,bolesławiecki,"4,322","2,341","1,843",25,168,3,2,536,31,12,492,0,1,573,0
020104,gm. Nowogrodziec,bolesławiecki,"11,320","6,460","4,452",49,257,5,11,"1,370",97,56,"1,005",6,3,"1,586",7
020105,gm. Osiecznica,bolesławiecki,"5,060","2,985","1,940",35,201,2,5,489,26,21,332,1,1,817,10
020106,gm. Warta Bolesławiecka,bolesławiecki,"5,993","3,469","2,308",25,202,3,2,599,40,23,589,1,2,819,3
020201,m. Bielawa,dzierżoniowski,"26,656","13,984","11,492",163,"1,355",16,32,"3,237",79,187,"1,552",10,8,"4,824",29
020202,m. Dzierżoniów,dzierżoniowski,"29,878","14,379","14,221",195,"1,939",13,49,"3,935",102,233,"1,682",11,7,"6,028",27
020203,m. Pieszyce,dzierżoniowski,"7,870","4,262","3,352",37,283,6,7,"1,060",42,46,606,5,3,"1,250",7
020204,m. Piława Górna,dzierżoniowski,"5,348","2,960","2,178",16,188,1,5,723,26,20,428,0,0,760,11
020205,gm. Dzierżoniów,dzierżoniowski,"7,748","3,897","3,641",35,277,0,15,"1,020",64,40,"1,042",2,2,"1,129",15
020206,gm. Łagiewniki,dzierżoniowski,"5,933","3,066","2,746",26,178,5,10,737,35,28,863,0,1,861,2
020207,gm. Niemcza,dzierżoniowski,"4,996","2,736","2,101",26,179,4,6,652,31,12,451,0,0,740,0
020301,m. Głogów,głogowski,"57,567","28,087","28,624",430,"4,304",50,73,"9,316",216,473,"3,098",16,4,"10,610",34
020302,gm. Głogów,głogowski,"4,134","2,090","1,883",23,172,2,6,629,19,27,420,1,3,580,1
020303,gm. Jerzmanowa,głogowski,"2,336","1,212","1,075",13,106,1,6,253,31,9,305,1,0,343,7
020304,gm. Kotla,głogowski,"3,113","1,634","1,325",11,121,2,2,377,23,11,434,1,0,342,1
020305,gm. Pęcław,głogowski,"1,761",943,742,6,47,1,2,226,15,5,266,1,0,173,0
020306,gm. Żukowice,głogowski,"2,713","1,554","1,080",16,83,3,4,247,39,10,408,1,4,262,3
020401,gm. Góra,górowski,"16,343","8,834","7,024",85,716,10,15,"1,839",137,82,"1,766",2,3,"2,357",12
020402,gm. Jemielno,górowski,"2,446","1,404",971,12,70,4,6,184,29,12,445,0,1,205,3
020403,gm. Niechlów,górowski,"3,906","2,203","1,560",11,125,1,2,338,48,15,658,0,0,361,1
020404,gm. Wąsosz,górowski,"5,826","3,356","2,216",27,213,1,1,579,49,20,688,1,2,630,5
020501,m. Jawor,jaworski,"20,245","9,808","9,337",139,"1,017",12,21,"2,942",58,136,"1,155",2,4,"3,831",20
020502,gm. Bolków,jaworski,"9,014","4,911","3,786",54,361,8,17,930,85,33,973,11,1,"1,304",9
020503,gm. Męcinka,jaworski,"3,750","2,184","1,448",17,89,3,8,462,35,6,441,1,1,383,2
020504,gm. Mściwojów,jaworski,"3,268","1,618","1,460",14,130,4,1,296,70,23,537,0,2,380,3
020505,gm. Paszowice,jaworski,"3,103","1,722","1,227",12,84,3,2,385,28,12,390,2,0,307,2
020506,gm. Wądroże Wielkie,jaworski,"3,214","1,839","1,205",8,103,0,7,208,56,8,533,1,0,278,3
020601,m. Karpacz,jeleniogórski,"4,501","2,021","2,093",25,274,2,5,367,17,29,157,2,0,"1,208",7
020602,m. Kowary,jeleniogórski,"9,921","5,387","4,279",72,547,7,21,"1,049",49,73,457,5,4,"1,974",21
020603,m. Piechowice,jeleniogórski,"5,439","2,737","2,537",39,290,6,9,629,20,49,310,4,2,"1,174",5
020604,m. Szklarska Poręba,jeleniogórski,"6,243","3,149","2,911",48,363,9,10,695,34,75,231,4,0,"1,435",7
020605,gm. Janowice Wielkie,jeleniogórski,"3,394","1,859","1,487",23,153,1,2,325,23,28,205,2,1,718,6
020606,gm. Jeżów Sudecki,jeleniogórski,"4,835","2,366","2,195",17,180,5,5,578,24,30,338,3,2,"1,010",3
020607,gm. Mysłakowice,jeleniogórski,"8,001","4,361","3,645",45,311,2,14,901,49,44,515,2,4,"1,755",3
020608,gm. Podgórzyn,jeleniogórski,"6,430","3,272","2,876",38,278,7,7,654,47,43,400,5,2,"1,391",4
020609,gm. Stara Kamienica,jeleniogórski,"4,069","2,266","1,650",22,144,2,1,337,24,16,336,1,0,765,2
020701,m. Kamienna Góra,kamiennogórski,"18,003","9,553","7,924",120,"1,003",11,16,"2,341",51,94,972,2,3,"3,296",15
020702,gm. Kamienna Góra,kamiennogórski,"6,606","3,490","2,933",26,205,4,9,811,66,31,657,3,0,"1,110",11
020703,gm. Lubawka,kamiennogórski,"9,551","5,133","4,060",36,487,3,18,960,42,42,733,2,1,"1,723",13
020704,gm. Marciszów,kamiennogórski,"3,788","1,964","1,691",16,122,2,7,402,39,18,466,2,3,609,5
