code,Gmina,Powiat,registered_voters,ballots_cast,valid_votes,PiS,PO
020101,m. Bolesławiec,bolesławiecki,"34,066","16,799","16,622","7,080","9,542"
020102,gm. Bolesławiec,bolesławiecki,"9,352","4,013","3,994","2,031","1,963"
020103,gm. Gromadka,bolesławiecki,"4,306","1,843","1,826",944,882
020104,gm. Nowogrodziec,bolesławiecki,"11,310","4,565","4,511","2,385","2,126"
020105,gm. Osiecznica,bolesławiecki,"5,053","2,030","2,006",822,"1,184"
020106,gm. Warta Bolesławiecka,bolesławiecki,"5,997","2,359","2,351","1,281","1,070"
020201,m. Bielawa,dzierżoniowski,"26,659","11,849","11,759","5,391","6,368"
020202,m. Dzierżoniów,dzierżoniowski,"29,890","14,516","14,358","6,528","7,830"
020203,m. Pieszyce,dzierżoniowski,"7,831","3,491","3,450","1,802","1,648"
020204,m. Piława Górna,dzierżoniowski,"5,343","2,260","2,225","1,277",948
020205,gm. Dzierżoniów,dzierżoniowski,"7,753","3,629","3,592","2,041","1,551"
020206,gm. Łagiewniki,dzierżoniowski,"5,930","2,750","2,737","1,570","1,167"
020207,gm. Niemcza,dzierżoniowski,"4,962","2,131","2,106","1,120",986
020301,m. Głogów,głogowski,"57,476","29,513","29,202","15,028","14,174"
020302,gm. Głogów,głogowski,"4,141","1,906","1,888","1,141",747
020303,gm. Jerzmanowa,głogowski,"2,341","1,084","1,074",592,482
020304,gm. Kotla,głogowski,"3,114","1,286","1,273",743,530
020305,gm. Pęcław,głogowski,"1,757",732,725,464,261
020306,gm. Żukowice,głogowski,"2,707",970,958,562,396
020401,gm. Góra,górowski,"16,340","6,982","6,896","3,725","3,171"
020402,gm. Jemielno,górowski,"2,439",894,884,546,338
020403,gm. Niechlów,górowski,"3,923","1,475","1,453",964,489
020404,gm. Wąsosz,górowski,"5,815","2,175","2,154","1,251",903
020501,m. Jawor,jaworski,"20,234","9,563","9,476","4,660","4,816"
020502,gm. Bolków,jaworski,"8,965","3,687","3,646","1,798","1,848"
020503,gm. Męcinka,jaworski,"3,753","1,507","1,496","1,002",494
020504,gm. Mściwojów,jaworski,"3,254","1,352","1,325",792,533
020505,gm. Paszowice,jaworski,"3,099","1,187","1,181",748,433
020506,gm. Wądroże Wielkie,jaworski,"3,207","1,047","1,039",664,375
020601,m. Karpacz,jeleniogórski,"4,503","2,196","2,177",597,"1,580"
020602,m. Kowary,jeleniogórski,"10,039","4,466","4,413","1,691","2,722"
020603,m. Piechowice,jeleniogórski,"5,454","2,551","2,521",979,"1,542"
020604,m. Szklarska Poręba,jeleniogórski,"6,288","3,050","3,017","1,073","1,944"
020605,gm. Janowice Wielkie,jeleniogórski,"3,472","1,530","1,501",543,958
020606,gm. Jeżów Sudecki,jeleniogórski,"4,836","2,277","2,257",923,"1,334"
020607,gm. Mysłakowice,jeleniogórski,"8,003","3,728","3,697","1,391","2,306"
020608,gm. Podgórzyn,jeleniogórski,"6,446","2,994","2,970","1,096","1,874"
020609,gm. Stara Kamienica,jeleniogórski,"4,073","1,691","1,679",678,"1,001"
020701,m. Kamienna Góra,kamiennogórski,"17,993","8,320","8,243","3,756","4,487"
020702,gm. Kamienna Góra,kamiennogórski,"6,606","3,002","2,958","1,497","1,461"
020703,gm. Lubawka,kamiennogórski,"9,514","4,143","4,094","1,687","2,407"
020704,gm. Marciszów,kamiennogórski,"3,771","1,643","1,631",774,857
020801,m. Duszniki-Zdrój,kłodzki,"4,532","2,205","2,186",842,"1,344"
020802,m. Kłodzko,kłodzki,"25,043","12,405","12,277","5,413","6,864"
020803,m. Kudowa-Zdrój,kłodzki,"8,625","4,132","4,090","1,819","2,271"
020804,m. Nowa Ruda,kłodzki,"20,660","8,902","8,812","4,036","4,776"
020805,m. Polanica-Zdrój,kłodzki,"5,895","2,955","2,928","1,336","1,592"
020806,gm. Bystrzyca Kłodzka,kłodzki,"16,711","7,674","7,586","3,886","3,700"
020807,gm. Kłodzko,kłodzki,"13,665","5,958","5,885","3,119","2,766"
020808,gm. Lądek-Zdrój,kłodzki,"7,708","3,449","3,403","1,613","1,790"
020809,gm. Lewin Kłodzki,kłodzki,"1,607",660,658,318,340
020810,gm. Międzylesie,kłodzki,"6,225","2,716","2,679","1,283","1,396"
020811,gm. Nowa Ruda,kłodzki,"10,128","4,165","4,125","1,962","2,163"
020812,gm. Radków,kłodzki,"7,582","3,197","3,170","1,624","1,546"
020813,gm. Stronie Śląskie,kłodzki,"6,139","2,572","2,545","1,028","1,517"
020814,gm. Szczytna,kłodzki,"6,018","2,637","2,604","1,054","1,550"
020901,m. Chojnów,legnicki,"11,668","5,120","5,077","2,474","2,603"
020902,gm. Chojnów,legnicki,"7,229","2,850","2,833","1,790","1,043"
020903,gm. Krotoszyce,legnicki,"2,316",961,952,609,343
020904,gm. Kunice,legnicki,"3,944","1,894","1,876",951,925
020905,gm. Legnickie Pole,legnicki,"3,836","1,515","1,493",908,585
020906,gm. Miłkowice,legnicki,"4,910","2,187","2,168","1,141","1,027"
020907,gm. Prochowice,legnicki,"5,793","2,580","2,571","1,307","1,264"
020908,gm. Ruja,legnicki,"2,125",781,768,492,276
021001,m. Lubań,lubański,"18,965","8,757","8,678","3,942","4,736"
021002,m. Świeradów-Zdrój,lubański,"3,896","1,841","1,817",762,"1,055"
021003,gm. Leśna,lubański,"8,481","3,528","3,492","1,610","1,882"
021004,gm. Lubań,lubański,"4,983","2,020","1,992","1,051",941
021005,gm. Olszyna,lubański,"5,456","2,234","2,208",951,"1,257"
021006,gm. Platerówka,lubański,"1,304",561,554,328,226
021007,gm. Siekierczyn,lubański,"4,077","1,958","1,944","1,053",891
021101,m. Lubin,lubiński,"63,581","32,535","32,285","17,070","15,215"
021102,gm. Lubin,lubiński,"8,307","3,622","3,589","1,921","1,668"
021103,gm. Rudna,lubiński,"5,486","2,259","2,232","1,372",860
021104,gm. Ścinawa,lubiński,"8,368","3,826","3,792","2,409","1,383"
021201,gm. Gryfów Śląski,lwówecki,"8,308","3,418","3,365","1,588","1,777"
021202,gm. Lubomierz,lwówecki,"4,921","1,951","1,919",925,994
021203,gm. Lwówek Śląski,lwówecki,"14,341","6,084","6,033","2,751","3,282"
021204,gm. Mirsk,lwówecki,"7,321","2,768","2,739","1,349","1,390"
021205,gm. Wleń,lwówecki,"3,806","1,600","1,572",738,834
021301,gm. Cieszków,milicki,"3,641","1,510","1,489",844,645
021302,gm. Krośnice,milicki,"6,220","2,564","2,534","1,495","1,039"
021303,gm. Milicz,milicki,"19,043","8,916","8,792","4,489","4,303"
021401,m. Oleśnica,oleśnicki,"29,877","15,578","15,407","7,257","8,150"
021402,gm. Bierutów,oleśnicki,"8,096","3,327","3,294","1,700","1,594"
021403,gm. Dobroszyce,oleśnicki,"4,562","1,874","1,863","1,067",796
021404,gm. Dziadowa Kłoda,oleśnicki,"3,483","1,290","1,276",733,543
021405,gm. Międzybórz,oleśnicki,"3,788","1,596","1,575",657,918
021406,gm. Oleśnica,oleśnicki,"8,572","3,215","3,188","1,981","1,207"
021407,gm. Syców,oleśnicki,"12,677","5,937","5,887","2,583","3,304"
021408,gm. Twardogóra,oleśnicki,"9,985","4,093","4,059","1,983","2,076"
021501,m. Oława,oławski,"25,521","13,875","13,759","6,612","7,147"
021502,gm. Domaniów,oławski,"4,085","1,916","1,903","1,311",592
021503,gm. Jelcz-Laskowice,oławski,"16,960","8,516","8,463","4,815","3,648"
021504,gm. Oława,oławski,"10,282","5,058","5,022","3,066","1,956"
021601,gm. Chocianów,polkowicki,"9,897","4,747","4,707","2,885","1,822"
021602,gm. Gaworzyce,polkowicki,"2,899","1,439","1,414",869,545
021603,gm. Grębocice,polkowicki,"4,040","1,665","1,649","1,027",622
021604,gm. Polkowice,polkowicki,"19,945","9,720","9,641","5,603","4,038"
021605,gm. Przemków,polkowicki,"7,016","2,866","2,842","1,613","1,229"
