Województwo,Code,Gmina,Powiat,registered_voters,ballots_cast,valid_votes,JUREK Marek,KACZYŃSKI Jarosław Aleksander,KOMOROWSKI Bronisław Maria,KORWIN-MIKKE Janusz Ryszard,LEPPER Andrzej Zbigniew,MORAWIECKI Kornel Andrzej,NAPIERALSKI Grzegorz Bernard,OLECHOWSKI Andrzej Marian,PAWLAK Waldemar,ZIĘTEK Bogusław Zbigniew
dolnośląskie,20101,"Bolesławiec, m.",bolesławiecki,32998,18096,17974,170,4779,9005,477,121,33,2971,270,127,21
dolnośląskie,20102,"Bolesławiec, gm.",bolesławiecki,10370,5043,4999,21,1578,2304,122,91,18,729,62,70,4
dolnośląskie,20103,"Gromadka, gm.",bolesławiecki,4408,2180,2161,20,809,874,45,61,6,288,15,39,4
dolnośląskie,20104,"Nowogrodziec, gm.",bolesławiecki,11784,5193,5155,45,1732,2220,115,124,8,725,66,111,9
dolnośląskie,20105,"Osiecznica, gm.",bolesławiecki,5281,2523,2506,15,636,1201,65,43,4,469,39,33,1
dolnośląskie,20106,"Warta Bolesławiecka, gm.",bolesławiecki,6461,2860,2838,19,919,1251,44,63,1,467,29,40,5
dolnośląskie,20201,"Bielawa, m.",dzierżoniowski,26307,12902,12798,93,3565,6395,324,127,25,1992,166,77,34
dolnośląskie,20202,"Dzierżoniów, m.",dzierżoniowski,29172,15436,15330,131,4366,7699,391,124,16,2178,286,117,22
dolnośląskie,20203,"Pieszyce, m.",dzierżoniowski,7760,3515,3475,28,1173,1566,73,47,9,495,31,45,8
dolnośląskie,20204,"Piława Górna, m.",dzierżoniowski,5386,2547,2518,17,876,1070,54,44,4,365,47,36,5
dolnośląskie,20205,"Dzierżoniów, gm.",dzierżoniowski,7709,3735,3713,28,1407,1442,94,86,3,506,63,66,18
dolnośląskie,20206,"Łagiewniki, gm.",dzierżoniowski,6127,2811,2788,19,1028,1083,47,86,5,405,44,67,4
dolnośląskie,20207,"Niemcza, gm.",dzierżoniowski,4887,2328,2304,21,766,1073,38,31,8,309,30,21,7
dolnośląskie,20301,"Głogów, m.",głogowski,56181,32011,31775,245,11357,12393,736,280,40,5977,507,176,64
dolnośląskie,20302,"Głogów, gm.",głogowski,4651,2476,2461,16,1028,807,50,41,3,438,35,39,4
