Code,Gmina,Voivodeship,registered_voters,ballots_cast,valid_votes,duda,komorowski
020101,m. Bolesławiec,dolnośląskie,31458,16537,16280,6780,9500
020102,gm. Bolesławiec,dolnośląskie,10950,5452,5386,2669,2717
020103,gm. Gromadka,dolnośląskie,4514,2245,2221,1285,936
020104,gm. Nowogrodziec,dolnośląskie,11930,5050,4975,2775,2200
020105,gm. Osiecznica,dolnośląskie,5445,2461,2426,1063,1363
020106,gm. Warta Bolesławiecka,dolnośląskie,6691,2938,2891,1478,1413
020201,m. Bielawa,dolnośląskie,25081,12200,12043,5257,6786
020202,m. Dzierżoniów,dolnośląskie,27690,14513,14335,5952,8383
020203,m. Pieszyce,dolnośląskie,7706,3564,3515,1696,1819
020204,m. Piława Górna,dolnośląskie,5255,2438,2408,1191,1217
020205,gm. Dzierżoniów,dolnośląskie,7687,3749,3699,1852,1847
020206,gm. Łagiewniki,dolnośląskie,6075,3003,2971,1659,1312
020207,gm. Niemcza,dolnośląskie,4748,2217,2197,1016,1181
020301,m. Głogów,dolnośląskie,53947,29780,29402,15134,14268
020302,gm. Głogów,dolnośląskie,5152,2878,2828,1608,1220
020303,gm. Jerzmanowa,dolnośląskie,3521,2068,2045,1150,895
020304,gm. Kotla,dolnośląskie,3375,1582,1558,900,658
020305,gm. Pęcław,dolnośląskie,1783,848,836,545,291
020306,gm. Żukowice,dolnośląskie,2784,1306,1291,716,575
020401,gm. Góra,dolnośląskie,16163,7409,7299,3494,3805
020402,gm. Jemielno,dolnośląskie,2496,982,971,535,436
020403,gm. Niechlów,dolnośląskie,3950,1646,1620,890,730
020404,gm. Wąsosz,dolnośląskie,5890,2484,2441,1248,1193
020501,m. Jawor,dolnośląskie,19405,9667,9524,4821,4703
020502,gm. Bolków,dolnośląskie,8665,3872,3820,1705,2115
020503,gm. Męcinka,dolnośląskie,3950,1897,1884,1075,809
020504,gm. Mściwojów,dolnośląskie,3279,1581,1550,747,803
020505,gm. Paszowice,dolnośląskie,3206,1504,1479,751,728
020506,gm. Wądroże Wielkie,dolnośląskie,3265,1454,1438,690,748
020601,m. Karpacz,dolnośląskie,4735,2472,2441,730,1711
020602,m. Kowary,dolnośląskie,9100,4346,4290,1518,2772
020603,m. Piechowice,dolnośląskie,5245,2656,2617,1053,1564
020604,m. Szklarska Poręba,dolnośląskie,5688,3015,2957,1046,1911
