code,Województwo,Gmina,registered_voters,ballots_cast,valid_votes,braun,duda,jarubas,komorowski,korwin-mikke,kowalski,kukiz,ogórek,palikot,tanajno,wilk
20101,dolnośląskie,m. Bolesławiec,31535,15149,15039,152,4018,114,6059,576,68,3336,405,224,19,68
20102,dolnośląskie,gm. Bolesławiec,10951,4776,4751,53,1489,59,1678,180,21,1076,121,50,11,13
20103,dolnośląskie,gm. Gromadka,4539,1964,1943,13,776,16,669,50,4,338,45,19,1,12
20104,dolnośląskie,gm. Nowogrodziec,11934,4504,4463,41,1680,50,1289,152,39,1074,80,38,5,15
20105,dolnośląskie,gm. Osiecznica,5467,2237,2223,17,570,28,803,85,14,580,76,38,2,10
20106,dolnośląskie,gm. Warta Bolesławiecka,6700,2626,2582,19,916,29,881,88,5,538,59,40,1,6
20201,dolnośląskie,m. Bielawa,25187,11134,11057,57,3266,77,4264,341,48,2530,253,173,10,38
20202,dolnośląskie,m. Dzierżoniów,27811,13112,12987,69,3771,97,5466,372,72,2496,390,197,17,40
20203,dolnośląskie,m. Pieszyce,7696,3238,3211,27,1138,31,1183,132,15,555,63,49,7,11
20204,dolnośląskie,m. Piława Górna,5293,2216,2202,6,761,20,771,72,15,477,42,25,4,9
20205,dolnośląskie,gm. Dzierżoniów,7709,3491,3462,22,1200,36,1193,78,22,779,61,46,11,14
20206,dolnośląskie,gm. Łagiewniki,6085,2631,2614,18,1010,32,870,68,17,506,59,21,1,12
20207,dolnośląskie,gm. Niemcza,4749,1987,1967,13,617,20,766,53,8,405,51,24,0,10
20301,dolnośląskie,m. Głogów,54178,26841,26665,147,9211,179,9242,629,122,5859,775,338,41,122
20302,dolnośląskie,gm. Głogów,5175,2566,2552,17,960,29,791,77,2,581,56,29,5,5
20303,dolnośląskie,gm. Jerzmanowa,3544,1914,1896,8,710,15,548,68,12,476,41,11,0,7
20304,dolnośląskie,gm. Kotla,3391,1346,1331,12,534,12,439,25,1,254,34,13,1,6
20305,dolnośląskie,gm. Pęcław,1774,692,691,2,289,20,182,15,3,144,11,15,1,9
20306,dolnośląskie,gm. Żukowice,2780,1135,1132,2,375,19,335,23,4,321,37,15,1,0
20401,dolnośląskie,gm. Góra,16098,6465,6413,33,2074,127,2286,155,25,1457,141,83,3,29
20402,dolnośląskie,gm. Jemielno,2507,814,807,2,305,23,279,20,5,124,27,17,3,2
20403,dolnośląskie,gm. Niechlów,3973,1435,1422,14,518,53,458,51,7,270,41,7,2,1
20404,dolnośląskie,gm. Wąsosz,5909,2098,2086,12,763,48,688,81,10,400,45,25,2,12
20501,dolnośląskie,m. Jawor,19523,8886,8829,95,3073,80,2956,287,23,1952,196,110,16,41
20502,dolnośląskie,gm. Bolków,8706,3521,3485,14,1054,57,1335,92,19,744,113,42,4,11
20503,dolnośląskie,gm. Męcinka,3961,1712,1703,9,784,28,467,34,4,318,44,9,2,4
20504,dolnośląskie,gm. Mściwojów,3297,1408,1392,12,440,47,484,21,2,321,45,14,3,3
20505,dolnośląskie,gm. Paszowice,3208,1303,1295,11,462,28,426,34,5,272,28,16,3,10
20506,dolnośląskie,gm. Wądroże Wielkie,3258,1280,1263,5,392,41,447,34,9,302,15,10,2,6
20601,dolnośląskie,m. Karpacz,4430,2121,2109,9,397,25,1094,82,5,383,52,42,5,15
20602,dolnośląskie,m. Kowary,9041,3870,3829,23,921,29,1777,97,21,767,89,79,9,17
20603,dolnośląskie,m. Piechowice,5234,2403,2389,8,619,25,1004,98,6,523,61,35,1,9
20604,dolnośląskie,m. Szklarska Poręba,5523,2561,2547,12,598,26,1178,55,9,520,73,62,5,9
20605,dolnośląskie,gm. Janowice Wielkie,3519,1497,1486,17,375,11,660,49,9,300,30,26,4,5
20606,dolnośląskie,gm. Jeżów Sudecki,5637,2488,2480,12,577,24,1086,54,6,558,73,65,7,18
20607,dolnośląskie,gm. Mysłakowice,8138,3446,3414,18,918,34,1471,77,18,709,89,60,4,16
20608,dolnośląskie,gm. Podgórzyn,6679,2862,2844,20,628,22,1375,78,5,587,55,55,5,14
20609,dolnośląskie,gm. Stara Kamienica,4207,1674,1657,5,434,21,688,45,6,377,46,22,5,8
20701,dolnośląskie,m. Kamienna Góra,16439,7036,6978,31,2108,46,2868,142,39,1446,192,70,10,26
20702,dolnośląskie,gm. Kamienna Góra,7034,3120,3081,18,1004,33,1154,69,10,664,75,33,8,13
