Kod TERYT,Gmina,Powiat,Województwo,registered_voters,ballots_cast,valid_votes,biedroń,bosak,duda,hołownia,jakubiak,kosiniak-kamysz,piotrowski,tanajno,trzaskowksi,witkowski,żółtek
20101,m. Bolesławiec,bolesławiecki,dolnośląskie,29513,18395,18514,450,1131,6465,2899,32,255,13,19,7183,24,43
20102,gm. Bolesławiec,bolesławiecki,dolnośląskie,11184,6942,6926,132,506,2889,1217,7,118,8,5,2016,8,20
20103,gm. Gromadka,bolesławiecki,dolnośląskie,4302,2464,2461,45,159,1365,261,3,54,0,4,561,3,6
20104,gm. Nowogrodziec,bolesławiecki,dolnośląskie,11579,6437,6455,72,468,3254,1313,8,102,5,10,1204,6,13
20105,gm. Osiecznica,bolesławiecki,dolnośląskie,5356,2955,2953,79,271,1237,476,1,46,2,3,823,9,6
20106,gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,6620,3727,3726,74,224,1843,560,1,58,1,9,945,2,9
20201,m. Bielawa,dzierżoniowski,dolnośląskie,23495,13307,13369,308,799,5518,2097,12,168,20,19,4386,12,30
20202,m. Dzierżoniów,dzierżoniowski,dolnośląskie,25596,15768,15827,360,938,6236,2015,23,232,11,31,5939,19,23
20203,m. Pieszyce,dzierżoniowski,dolnośląskie,7424,4026,4052,96,256,1924,443,7,56,6,10,1238,3,13
20204,m. Piława Górna,dzierżoniowski,dolnośląskie,4895,2705,2722,53,225,1323,402,4,36,3,7,659,1,9
20205,gm. Dzierżoniów,dzierżoniowski,dolnośląskie,7269,4502,4500,84,256,2333,620,6,90,2,5,1094,6,4
20206,gm. Łagiewniki,dzierżoniowski,dolnośląskie,5868,3505,3509,49,205,1908,467,1,68,2,5,795,1,8
20207,gm. Niemcza,dzierżoniowski,dolnośląskie,4329,2357,2361,52,145,1161,292,2,37,2,5,659,4,2
20301,m. Głogów,głogowski,dolnośląskie,50451,31394,31490,750,1861,13316,4485,34,523,32,44,10345,32,68
20302,gm. Głogów,głogowski,dolnośląskie,5235,3437,3450,51,211,1672,483,4,57,8,2,955,4,3
20303,gm. Jerzmanowa,głogowski,dolnośląskie,3928,2711,2716,62,174,1171,441,1,66,3,5,784,3,6
20304,gm. Kotla,głogowski,dolnośląskie,3393,1896,1902,41,108,1024,226,2,27,1,1,470,0,2
20305,gm. Pęcław,głogowski,dolnośląskie,1686,952,953,37,46,617,89,1,26,0,2,134,0,1
20306,gm. Żukowice,głogowski,dolnośląskie,2664,1507,1508,39,99,768,245,0,37,0,3,312,3,2
20401,gm. Góra,górowski,dolnośląskie,15149,8280,8307,186,468,3772,1208,8,212,6,9,2418,8,12
