code,Gmina,Powiat,Województwo,registered_voters,ballots_cast,valid_votes,duda,trzaskowski
020101,m. Bolesławiec,bolesławiecki,dolnośląskie,29061,18929,18984,7915,11069
020102,gm. Bolesławiec,bolesławiecki,dolnośląskie,11100,7182,7140,3607,3533
020103,gm. Gromadka,bolesławiecki,dolnośląskie,4277,2584,2572,1617,955
020104,gm. Nowogrodziec,bolesławiecki,dolnośląskie,11463,6578,6588,4013,2575
020105,gm. Osiecznica,bolesławiecki,dolnośląskie,5356,3089,3080,1576,1504
020106,gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,6543,3876,3883,2238,1645
020201,m. Bielawa,dzierżoniowski,dolnośląskie,23065,13910,13907,6559,7348
020202,m. Dzierżoniów,dzierżoniowski,dolnośląskie,25138,16317,16327,7396,8931
020203,m. Pieszyce,dzierżoniowski,dolnośląskie,7380,4252,4266,2295,1971
020204,m. Piława Górna,dzierżoniowski,dolnośląskie,4850,2852,2858,1645,1213
020205,gm. Dzierżoniów,dzierżoniowski,dolnośląskie,7306,4750,4725,2763,1962
020206,gm. Łagiewniki,dzierżoniowski,dolnośląskie,5804,3745,3728,2318,1410
020207,gm. Niemcza,dzierżoniowski,dolnośląskie,4293,2527,2531,1407,1124
020301,m. Głogów,głogowski,dolnośląskie,49537,32613,32559,16112,16447
020302,gm. Głogów,głogowski,dolnośląskie,5205,3607,3613,2025,1588
020303,gm. Jerzmanowa,głogowski,dolnośląskie,3899,2834,2831,1459,1372
020304,gm. Kotla,głogowski,dolnośląskie,3372,2047,2042,1271,771
020305,gm. Pęcław,głogowski,dolnośląskie,1672,1007,1002,747,255
020306,gm. Żukowice,głogowski,dolnośląskie,2638,1862,1832,1108,724
020401,gm. Góra,górowski,dolnośląskie,14871,8731,8745,4517,4228
020402,gm. Jemielno,górowski,dolnośląskie,2357,1373,1360,928,432
020403,gm. Niechlów,górowski,dolnośląskie,3840,2294,2278,1594,684
020404,gm. Wąsosz,górowski,dolnośląskie,5668,3294,3332,1918,1414
020501,m. Jawor,jaworski,dolnośląskie,17881,11231,11304,5859,5445
020502,gm. Bolków,jaworski,dolnośląskie,8110,4739,4726,2492,2234
020503,gm. Męcinka,jaworski,dolnośląskie,3967,2557,2537,1612,925
020504,gm. Mściwojów,jaworski,dolnośląskie,3165,1938,1944,1096,848
020505,gm. Paszowice,jaworski,dolnośląskie,3193,1949,1948,1123,825
020506,gm. Wądroże Wielkie,jaworski,dolnośląskie,3191,2092,2078,1176,902
020601,m. Karpacz,jeleniogórski,dolnośląskie,6213,4632,4628,1294,3334
020602,m. Kowary,jeleniogórski,dolnośląskie,8192,4996,5000,1928,3072
020603,m. Piechowice,jeleniogórski,dolnośląskie,4946,3259,3257,1195,2062
020604,m. Szklarska Poręba,jeleniogórski,dolnośląskie,6931,5095,5101,1716,3385
020605,gm. Janowice Wielkie,jeleniogórski,dolnośląskie,3431,2305,2287,932,1355
020606,gm. Jeżów Sudecki,jeleniogórski,dolnośląskie,5735,3783,3830,1341,2489
020607,gm. Mysłakowice,jeleniogórski,dolnośląskie,7976,5113,5142,2072,3070
020608,gm. Podgórzyn,jeleniogórski,dolnośląskie,6975,4581,4597,1639,2958
020609,gm. Stara Kamienica,jeleniogórski,dolnośląskie,4193,2514,2514,1014,1500
020701,m. Kamienna Góra,kamiennogórski,dolnośląskie,14865,8959,8989,4189,4800
020702,gm. Kamienna Góra,kamiennogórski,dolnośląskie,6862,4385,4381,2221,2160
020703,gm. Lubawka,kamiennogórski,dolnośląskie,8551,5408,5374,2412,2962
020704,gm. Marciszów,kamiennogórski,dolnośląskie,3531,2144,2122,1098,1024
020801,m. Duszniki-Zdrój,kłodzki,dolnośląskie,4255,2809,2810,1142,1668
020802,m. Kłodzko,kłodzki,dolnośląskie,20910,13323,13328,5726,7602
020803,m. Kudowa-Zdrój,kłodzki,dolnośląskie,8971,6139,6163,2674,3489
020804,m. Nowa Ruda,kłodzki,dolnośląskie,17179,9975,9988,4254,5734
020805,m. Polanica-Zdrój,kłodzki,dolnośląskie,6116,4163,4194,1713,2481
020806,gm. Bystrzyca Kłodzka,kłodzki,dolnośląskie,15199,9427,9459,4867,4592
020807,gm. Kłodzko,kłodzki,dolnośląskie,13285,7903,7948,4472,3476
020808,gm. Lądek-Zdrój,kłodzki,dolnośląskie,7076,4400,4411,2070,2341
020809,gm. Lewin Kłodzki,kłodzki,dolnośląskie,1642,1035,1026,469,557
020810,gm. Międzylesie,kłodzki,dolnośląskie,5808,3570,3569,1742,1827
020811,gm. Nowa Ruda,kłodzki,dolnośląskie,9195,5506,5478,2632,2846
020812,gm. Radków,kłodzki,dolnośląskie,7242,4400,4406,2242,2164
020813,gm. Stronie Śląskie,kłodzki,dolnośląskie,6234,3859,3860,1612,2248
020814,gm. Szczytna,kłodzki,dolnośląskie,5933,3670,3668,1661,2007
020901,m. Chojnów,legnicki,dolnośląskie,9966,6108,6103,3122,2981
020902,gm. Chojnów,legnicki,dolnośląskie,7408,4721,4720,2944,1776
020903,gm. Krotoszyce,legnicki,dolnośląskie,2532,1696,1683,1076,607
020904,gm. Kunice,legnicki,dolnośląskie,5355,3777,3787,1759,2028
020905,gm. Legnickie Pole,legnicki,dolnośląskie,3781,2622,2601,1559,1042
020906,gm. Miłkowice,legnicki,dolnośląskie,5140,3476,3466,1889,1577
020907,gm. Prochowice,legnicki,dolnośląskie,5691,3552,3543,2001,1542
020908,gm. Ruja,legnicki,dolnośląskie,1996,1306,1306,909,397
021001,m. Lubań,lubański,dolnośląskie,15913,9932,9940,4154,5786
021002,m. Świeradów-Zdrój,lubański,dolnośląskie,4049,2766,2775,1030,1745
021003,gm. Leśna,lubański,dolnośląskie,7766,4531,4513,2273,2240
021004,gm. Lubań,lubański,dolnośląskie,5094,3084,3068,1524,1544
021005,gm. Olszyna,lubański,dolnośląskie,5084,2972,2959,1352,1607
021006,gm. Platerówka,lubański,dolnośląskie,1242,959,932,548,384
021007,gm. Siekierczyn,lubański,dolnośląskie,4002,2534,2535,1215,1320
021101,m. Lubin,lubiński,dolnośląskie,53799,35616,35580,19200,16380
021102,gm. Lubin,lubiński,dolnośląskie,12194,8613,8572,4629,3943
021103,gm. Rudna,lubiński,dolnośląskie,5987,3847,3846,2517,1329
021104,gm. Ścinawa,lubiński,dolnośląskie,7525,4822,4833,3358,1475
021201,gm. Gryfów Śląski,lwówecki,dolnośląskie,7519,4451,4450,2078,2372
021202,gm. Lubomierz,lwówecki,dolnośląskie,4784,2731,2724,1359,1365
021203,gm. Lwówek Śląski,lwówecki,dolnośląskie,13226,7982,7974,3789,4185
021204,gm. Mirsk,lwówecki,dolnośląskie,6814,3945,3954,1943,2011
021205,gm. Wleń,lwówecki,dolnośląskie,3469,2133,2132,1037,1095
021301,gm. Cieszków,milicki,dolnośląskie,3679,2367,2370,1465,905
021302,gm. Krośnice,milicki,dolnośląskie,6329,3974,3972,2360,1612
021303,gm. Milicz,milicki,dolnośląskie,18848,12007,12030,6328,5702
021401,m. Oleśnica,oleśnicki,dolnośląskie,28141,18833,18875,8103,10772
021402,gm. Bierutów,oleśnicki,dolnośląskie,7612,4583,4600,2604,1996
021403,gm. Dobroszyce,oleśnicki,dolnośląskie,5237,3465,3468,1886,1582
