Region_ID,Code,Gmina,Powiat,registered_voters,ballots_cast,invalid_votes,valid_votes,PM,PPP,LPR,DP,SDP,PiS,SLD,PO,PPN,PSL,Center,Korwin,OKO,Konf,SRP,IRP,DO,NOP,SP,SR,MN,MNS
1,20101,m. Bolesławiec,bolesławiecki,"34,041","13,305",502,"12,803",273,88,799,"1,307",352,"2,723","2,262","3,539",24,187,32,255,,,785,,159,18,,,,
1,20102,gm. Bolesławiec,bolesławiecki,"9,391","2,970",114,"2,856",38,8,221,378,64,622,263,534,5,112,11,55,,,500,,38,7,,,,
1,20103,gm. Gromadka,bolesławiecki,"4,341","1,478",85,"1,393",13,13,110,112,56,245,157,302,2,115,2,18,,,237,,6,5,,,,
1,20104,gm. Nowogrodziec,bolesławiecki,"11,312","3,349",219,"3,130",31,41,370,168,68,757,257,541,10,200,13,94,,,534,,36,10,,,,
1,20105,gm. Osiecznica,bolesławiecki,"5,077","1,510",97,"1,413",21,17,148,102,29,263,225,290,4,44,5,34,,,215,,14,2,,,,
1,20106,gm. Warta Bolesławiecka,bolesławiecki,"5,992","1,939",106,"1,833",13,14,126,70,16,375,144,704,3,50,3,10,,,291,,14,0,,,,
1,20301,m. Głogów,głogowski,"57,694","22,948",887,"22,061",108,157,"1,246","1,639",872,"6,951","3,328","4,726",93,383,82,368,,,"2,024",,56,28,,,,
1,20302,gm. Głogów,głogowski,"4,134","1,436",81,"1,355",6,11,123,63,26,364,125,272,10,84,9,13,,,242,,5,2,,,,
1,20303,gm. Jerzmanowa,głogowski,"2,343",818,47,771,2,8,50,34,22,138,87,153,6,91,4,10,,,160,,4,2,,,,
1,20304,gm. Kotla,głogowski,"3,123","1,007",65,942,3,4,94,62,24,180,89,167,0,51,2,13,,,236,,13,4,,,,
1,20305,gm. Pęcław,głogowski,"1,765",596,47,549,1,5,22,18,4,158,55,141,0,21,1,2,,,118,,1,2,,,,
1,20306,gm. Żukowice,głogowski,"2,712",777,36,741,8,4,53,18,17,108,36,103,0,69,6,5,,,310,,4,0,,,,
1,20501,m. Jawor,jaworski,"20,248","7,821",296,"7,525",36,39,554,96,172,"3,012",860,"1,712",17,154,94,89,,,655,,21,14,,,,
1,20502,gm. Bolków,jaworski,"9,033","3,066",144,"2,922",106,19,213,55,215,562,503,521,15,142,11,50,,,489,,9,12,,,,
1,20503,gm. Męcinka,jaworski,"3,774","1,037",36,"1,001",4,6,91,9,9,350,87,105,3,94,3,9,,,227,,4,0,,,,
