Code,Gmina,registered_voters,ballots_cast,valid_votes,PiS,PO,T,KORWiN,PSL,ZL,Kukiz'15,M,JOW,ZS,RS,ZdS,SRP,SB,KNP,MN,OdP
20101,m. Bolesławiec,"31,388","15,365","15,005","4,579","4,416",520,969,425,"1,751","1,154","1,191",,,,,,,,,
20102,gm. Bolesławiec,"10,953","4,715","4,561","1,591","1,090",140,292,227,338,502,381,,,,,,,,,
20103,gm. Gromadka,"4,509","1,866","1,759",796,382,60,48,98,149,164,62,,,,,,,,,
20104,gm. Nowogrodziec,"11,915","4,252","4,031","1,595",834,153,245,208,227,531,238,,,,,,,,,
20105,gm. Osiecznica,"5,456","2,136","2,038",609,512,90,149,102,197,246,133,,,,,,,,,
20106,gm. Warta Bolesławiecka,"6,705","2,564","2,477",962,584,90,119,110,203,277,132,,,,,,,,,
20201,m. Bielawa,"25,042","10,978","10,625","3,393","2,857",421,457,99,"1,620",915,726,137,,,,,,,,
20202,m. Dzierżoniów,"27,607","13,619","13,258","4,186","4,426",447,498,158,"1,244","1,075","1,114",110,,,,,,,,
20203,m. Pieszyce,"7,670","3,183","3,055","1,119",864,95,149,214,205,226,157,26,,,,,,,,
20204,m. Piława Górna,"5,279","2,161","2,081",779,485,98,108,41,135,215,207,13,,,,,,,,
20205,gm. Dzierżoniów,"7,666","3,356","3,203","1,230",812,113,118,98,201,405,194,32,,,,,,,,
20206,gm. Łagiewniki,"6,085","2,513","2,404","1,002",562,88,102,100,152,238,137,23,,,,,,,,
20207,gm. Niemcza,"4,750","1,936","1,859",625,492,55,79,111,155,190,144,8,,,,,,,,
20301,m. Głogów,"53,869","27,822","27,156","10,653","7,307",979,876,369,"3,101","2,121","1,750",,,,,,,,,
20302,gm. Głogów,"5,190","2,639","2,526","1,082",564,110,110,70,205,199,186,,,,,,,,,
20303,gm. Jerzmanowa,"3,563","1,933","1,871",733,399,76,92,77,190,155,149,,,,,,,,,
20304,gm. Kotla,"3,410","1,358","1,295",580,294,56,30,44,119,106,66,,,,,,,,,
20305,gm. Pęcław,"1,779",749,708,341,123,19,18,94,38,61,14,,,,,,,,,
20306,gm. Żukowice,"2,768","1,147","1,097",444,267,30,35,53,86,139,43,,,,,,,,,
20401,gm. Góra,"16,082","6,466","6,244","1,981","2,270",196,198,403,343,538,262,,46,,,,7,,,
20402,gm. Jemielno,"2,479",851,814,293,155,11,21,172,51,78,26,,7,,,,-,,,
20403,gm. Niechlów,"3,936","1,325","1,253",492,261,51,61,160,62,106,49,,8,,,,3,,,
20404,gm. Wąsosz,"5,865","2,126","2,024",706,472,72,71,195,144,241,109,,10,,,,4,,,
20501,m. Jawor,"19,624","9,136","8,931","3,487","2,014",300,416,260,819,"1,014",621,,,,,,,,,
20502,gm. Bolków,"8,691","3,397","3,252",952,704,117,126,457,387,323,186,,,,,,,,,
20503,gm. Męcinka,"3,939","1,644","1,588",775,240,35,59,131,110,161,77,,,,,,,,,
20504,gm. Mściwojów,"3,272","1,372","1,323",429,289,45,46,190,122,130,72,,,,,,,,,
20505,gm. Paszowice,"3,201","1,327","1,288",523,232,36,77,115,92,123,90,,,,,,,,,
20506,gm. Wądroże Wielkie,"3,299","1,306","1,249",406,227,41,32,260,77,149,57,,,,,,,,,
20601,m. Karpacz,"4,424","2,184","2,144",404,815,97,128,95,226,155,224,,,,,,,,,
20602,m. Kowary,"9,068","3,889","3,734",999,"1,229",179,182,117,376,345,307,,,,,,,,,
20603,m. Piechowice,"5,246","2,455","2,383",632,749,94,141,108,211,221,227,,,,,,,,,
20604,m. Szklarska Poręba,"5,506","2,593","2,527",643,842,123,90,104,268,232,225,,,,,,,,,
20605,gm. Janowice Wielkie,"3,485","1,539","1,473",407,484,74,45,54,119,127,163,,,,,,,,,
20606,gm. Jeżów Sudecki,"5,617","2,620","2,556",660,848,106,93,109,225,178,337,,,,,,,,,
20607,gm. Mysłakowice,"8,183","3,629","3,482",977,"1,064",156,144,189,236,352,364,,,,,,,,,
20608,gm. Podgórzyn,"6,628","3,007","2,912",658,826,110,99,484,225,246,264,,,,,,,,,
