Code,v_id,Powiat,p_id,Gmina,g_id
20101,2,bolesławiecki,01,m. Bolesławiec,01
20102,2,bolesławiecki,01,gm. Bolesławiec,02
20103,2,bolesławiecki,01,gm. Gromadka,03
20104,2,bolesławiecki,01,gm. Nowogrodziec,04
20105,2,bolesławiecki,01,gm. Osiecznica,05
20106,2,bolesławiecki,01,gm. Warta Bolesławiecka,06
20301,2,głogowski,03,m. Głogów,01
20302,2,głogowski,03,gm. Głogów,02
20303,2,głogowski,03,gm. Jerzmanowa,03
20304,2,głogowski,03,gm. Kotla,04
20305,2,głogowski,03,gm. Pęcław,05
20306,2,głogowski,03,gm. Żukowice,06
20501,2,jaworski,05,m. Jawor,01
20502,2,jaworski,05,gm. Bolków,02
20503,2,jaworski,05,gm. Męcinka,03
20504,2,jaworski,05,gm. Mściwojów,04
20505,2,jaworski,05,gm. Paszowice,05
20506,2,jaworski,05,gm. Wądroże Wielkie,06
20601,2,jeleniogórski,06,m. Karpacz,01
20602,2,jeleniogórski,06,m. Kowary,02
20603,2,jeleniogórski,06,m. Piechowice,03
20604,2,jeleniogórski,06,m. Szklarska Poręba,04
20605,2,jeleniogórski,06,gm. Janowice Wielkie,05
20606,2,jeleniogórski,06,gm. Jeżów Sudecki,06
20607,2,jeleniogórski,06,gm. Mysłakowice,07
20608,2,jeleniogórski,06,gm. Podgórzyn,08
20609,2,jeleniogórski,06,gm. Stara Kamienica,09
20701,2,kamiennogórski,07,m. Kamienna Góra,01
20702,2,kamiennogórski,07,gm. Kamienna Góra,02
20703,2,kamiennogórski,07,gm. Lubawka,03
20704,2,kamiennogórski,07,gm. Marciszów,04
20901,2,legnicki,09,m. Chojnów,01
20902,2,legnicki,09,gm. Chojnów,02
20903,2,legnicki,09,gm. Krotoszyce,03
20904,2,legnicki,09,gm. Kunice,04
20905,2,legnicki,09,gm. Legnickie Pole,05
20906,2,legnicki,09,gm. Miłkowice,06
20907,2,legnicki,09,gm. Prochowice,07
20908,2,legnicki,09,gm. Ruja,08
21001,2,lubański,10,m. Lubań,01
21002,2,lubański,10,m. Świeradów-Zdrój,02
21003,2,lubański,10,gm. Leśna,03
21004,2,lubański,10,gm. Lubań,04
21005,2,lubański,10,gm. Olszyna,05
21006,2,lubański,10,gm. Platerówka,06
21007,2,lubański,10,gm. Siekierczyn,07
21101,2,lubiński,11,m. Lubin,01
21102,2,lubiński,11,gm. Lubin,02
