office, year, round, link
Sejm, 2005, -1, https://wybory2005.pkw.gov.pl/SJM/PL/WYN/M/index.htm
Sejm, 2007, -1, https://wybory2007.pkw.gov.pl/SJM/PL/WYN/W/index.htm
Senate, 2005, -1, https://wybory2005.pkw.gov.pl/SNT/PL/WYN/M/index.htm
Senate, 2007, -1, https://wybory2007.pkw.gov.pl/SNT/PL/WYN/W/index.htm
President, 2005, 1, https://wybory2005.pkw.gov.pl/PZT1/PL/WYN/W/index.htm
President, 2005, 2, https://wybory2005.pkw.gov.pl/PZT/PL/WYN/W/index.htm
President, 2010, 1, https://prezydent2010.pkw.gov.pl/PZT1/PL/DOKUMENTY/dane_w_arkuszach/index.html
President, 2010, 2, https://prezydent2010.pkw.gov.pl/PZT/PL/DOKUMENTY/dane_w_arkuszach/index.html
President, 2015, 1, https://prezydent2015.pkw.gov.pl/319_Pierwsze_glosowanie.html
President, 2015, 2, https://prezydent2015.pkw.gov.pl/325_Ponowne_glosowanie.html
